threshold_dbfs,file,sample_rate,channels,audio_duration_sec,event_index,event_start_sec,event_end_sec,event_duration_sec,active_start_sec,active_end_sec,rms_max_dbfs,rms_mean_dbfs
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34153__2018-06-30__77bc344a70.wav,44100,1,41.159,1,0.0,40.747,40.747,1.0,35.747,-13.96,-31.23
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34154__2018-06-30__9ed264bcab.wav,44100,1,34.338,1,0.0,34.338,34.338,1.0,33.122,-15.04,-27.18
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34155__2018-06-30__8f97ed0e72.wav,44100,1,38.375,1,0.0,38.375,38.375,1.0,37.497,-11.02,-25.27
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34156__2018-06-30__d7dd3da275.wav,44100,1,26.904,1,0.0,26.904,26.904,1.0,23.123,-10.65,-29.01
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34157__2018-06-30__bdd33d2ef2.wav,44100,1,34.654,1,0.0,34.654,34.654,1.0,33.497,-10.29,-26.56
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34158__2018-06-30__d040ab560d.wav,44100,1,51.122,1,0.0,51.122,51.122,1.0,47.496,-12.61,-27.71
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34159__2018-06-30__eff85f870c.wav,44100,1,47.141,1,0.0,17.624,17.624,1.0,12.624,-16.34,-23.66
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34159__2018-06-30__eff85f870c.wav,44100,1,47.141,2,24.498,40.622,16.124,27.498,35.622,-16.87,-23.82
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34160__2018-06-30__6b079835bb.wav,44100,1,38.654,1,0.0,38.654,38.654,1.0,37.747,-10.62,-23.88
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34161__2018-06-30__8854363e1e.wav,44100,1,38.53,1,0.0,38.53,38.53,1.0,37.622,-10.64,-23.74
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34162__2018-06-30__8d88b31951.wav,44100,1,64.67,1,0.0,29.998,29.998,1.0,24.998,-13.73,-22.66
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34162__2018-06-30__8d88b31951.wav,44100,1,64.67,2,31.247,64.67,33.423,34.247,63.119,-9.95,-28.83
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34163__2018-06-30__064bef1177.wav,44100,1,29.69,1,0.0,29.69,29.69,1.0,28.122,-10.4,-26.38
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34164__2018-06-30__717e8b570a.wav,44100,1,16.349,1,0.0,16.349,16.349,1.0,13.874,-12.37,-24.64
-35.0,Atelopus_mittermeieri/Atelopus_mittermeieri__IAvH-CSA-15996__2008-05-19__20f5cc74be.wav,44100,1,135.22,1,0.0,13.874,13.874,0.0,8.874,-13.9,-19.69
-35.0,Atelopus_mittermeieri/Atelopus_mittermeieri__IAvH-CSA-15996__2008-05-19__20f5cc74be.wav,44100,1,135.22,2,14.498,23.248,8.75,17.498,18.248,-14.91,-20.36
-35.0,Atelopus_mittermeieri/Atelopus_mittermeieri__IAvH-CSA-15996__2008-05-19__20f5cc74be.wav,44100,1,135.22,3,28.997,37.747,8.75,31.997,32.747,-14.57,-20.87
-35.0,Atelopus_mittermeieri/Atelopus_mittermeieri__IAvH-CSA-15996__2008-05-19__20f5cc74be.wav,44100,1,135.22,4,39.496,48.246,8.75,42.496,43.246,-15.81,-21.25
-35.0,Atelopus_mittermeieri/Atelopus_mittermeieri__IAvH-CSA-15996__2008-05-19__20f5cc74be.wav,44100,1,135.22,5,50.495,59.245,8.75,53.495,54.245,-15.17,-19.66
-35.0,Atelopus_mittermeieri/Atelopus_mittermeieri__IAvH-CSA-15996__2008-05-19__20f5cc74be.wav,44100,1,135.22,6,67.994,76.744,8.75,70.994,71.744,-17.92,-22.29
-35.0,Atelopus_mittermeieri/Atelopus_mittermeieri__IAvH-CSA-15996__2008-05-19__20f5cc74be.wav,44100,1,135.22,7,91.616,135.22,43.603,94.616,131.613,-13.17,-20.85
-35.0,Atelopus_nicefori/Atelopus_nicefori__IAvH-CSA-16755____a0f180d058.wav,44100,1,68.145,1,0.25,60.25,60.0,3.25,60.25,-5.21,-26.87
-35.0,Atelopus_nicefori/Atelopus_nicefori__IAvH-CSA-16755____a0f180d058.wav,44100,1,68.145,2,60.25,65.994,5.745,60.25,60.994,-5.21,-26.87
-35.0,Atelopus_walkeri/Atelopus_walkeri__IAvH-CSA-15998__1972-06-17__ac55718e5e.wav,44100,1,94.797,1,0.0,24.623,24.623,2.625,19.623,-11.14,-22.45
-35.0,Atelopus_walkeri/Atelopus_walkeri__IAvH-CSA-15998__1972-06-17__ac55718e5e.wav,44100,1,94.797,2,25.622,48.496,22.874,28.622,43.496,-18.33,-28.42
-35.0,Atelopus_walkeri/Atelopus_walkeri__IAvH-CSA-15998__1972-06-17__ac55718e5e.wav,44100,1,94.797,3,51.12,91.492,40.372,54.12,86.492,-14.51,-29.53
-35.0,Atelopus_walkeri/Atelopus_walkeri__IAvH-CSA-15999__1972-06-17__9621a47a13.wav,44100,1,79.074,1,8.124,68.124,60.0,11.124,68.124,-5.89,-25.34
-35.0,Atelopus_walkeri/Atelopus_walkeri__IAvH-CSA-15999__1972-06-17__9621a47a13.wav,44100,1,79.074,2,68.124,74.494,6.37,68.124,69.494,-5.89,-25.34
-35.0,Atelopus_walkeri/Atelopus_walkeri__IAvH-CSA-17765__1972-06-17__bfae6135c2.wav,44100,1,53.25,1,3.624,18.374,14.749,6.624,13.374,-12.8,-22.62
-35.0,Atelopus_walkeri/Atelopus_walkeri__IAvH-CSA-17765__1972-06-17__bfae6135c2.wav,44100,1,53.25,2,18.498,50.871,32.373,21.498,45.871,-17.58,-23.18
-35.0,Boana/Boana__IAvH-CSA-18408__2019-01-04__7d73402d35.wav,96000,1,164.356,1,0.0,60.0,60.0,1.0,60.0,-20.34,-30.93
-35.0,Boana/Boana__IAvH-CSA-18408__2019-01-04__7d73402d35.wav,96000,1,164.356,2,60.0,120.0,60.0,60.0,120.0,-20.34,-30.93
